"","node_id","node_box_x_min","node_box_x_max","node_box_y_min","node_box_y_max"
"199","78220000180191",485314.361058444,485685.638735984,4940084.66362528,4940265.33621576
"200","78220000180201",485421.518702274,485635.623928797,4939874.44872653,4940085.55111282
"201","78220000180211",485410.682984926,485675.317074236,4939693.26164454,4939876.73819759
"202","78220000180221",485320.981997089,485604.161244434,4939504.29297144,4939706.56386374
"203","78220000180231",485112.070043113,485533.930238986,4939069.71705736,4939878.28243823
"204","78220000180241",484961.351333082,485328.648947168,4938979.61607099,4939814.38338149
"205","78220000180251",484846.915143392,485083.085351243,4939118.34516005,4939465.6542917
"206","78220000180261",484696.146983979,484873.853429655,4939070.95561721,4939287.0438349
"207","78220000180271",484511.818205929,484698.182080404,4939017.11326342,4939170.88618905
"208","78220000180281",484383.664683535,484510.735629041,4938919.26435783,4939046.33530237
"209","78220000180291",484243.635660722,484438.364640853,4938735.9751526,4938914.02460986
"210","78220000180301",484211.142814531,484379.142814531,4938523.51463143,4938736.48521688
"211","78220000180311",484235.029301125,484426.970332977,4938342.89566335,4938527.10413886
"212","78220000180321",484288.79974893,484557.59974819,4938169.19984602,4938370.799847
"213","78220000180341",484664.963471258,484845.036247824,4937927.44401494,4938210.55543689
"214","78220000180351",484844.639690305,485055.360177355,4937942.77041532,4938122.37174374
"215","78220000180361",485053.536532923,485236.463200937,4937941.15351637,4938092.84593554
"216","78220000180371",485232.762382183,485417.237107983,4937852.38659337,4938035.61285702
"217","78220000180381",485409.767874295,485552.231589101,4937717.38592022,4937890.61378314
"218","78220000180391",485418.897434414,485669.10239769,4937534.46123744,4937715.53860874
"219","78220000180401",485400.825939512,485644.317144184,4937324.04768746,4937535.95212603
"220","78220000180471",484274.66359551,484455.33618737,4936744.36088732,4937115.63856499
"221","78220000180481",484064.405841897,484275.594077708,4936765.71393685,4937125.71393685
"222","78220000180491",483884.663592424,484065.336184354,4936784.28553109,4937143.71392118
"223","78220000180501",483674.343348149,483885.656636649,4936775.83575358,4937143.02069168
"224","78220000180511",483464.761365018,483675.238584557,4936798.3686294,4937098.2021015
"225","78220000180521",483284.108767233,483465.89112003,4936759.99972632,4937131.99972632
"226","78220000180531",483074.116836272,483285.883241407,4936736.78888351,4937099.78184757
"227","78220000180541",482895.000029588,483075.000031231,4936702.65055938,4937071.34889357
"228","78220000180551",482684.448821384,482895.551209617,4936641.60871036,4937069.81916352
"229","78220000180561",482504.39825558,482685.601682377,4936631.63348594,4937028.36596682
"230","78220000180571",482294.877325465,482505.122864573,4936639.40206085,4936948.59724172
"231","78220000180581",482114.961835399,482295.038316873,4936572.2853166,4936899.7141363
"232","78220000180591",481934.961842807,482115.038324318,4936514.98975366,4936833.00969924
"233","78220000180601",481745.18800275,481944.812354346,4936433.64609821,4936766.35335429
"234","78220000180611",481572.152430047,481757.847766552,4936273.88055338,4936738.11889949
"235","78220000180621",481367.816546064,481602.183734301,4936199.64665833,4936650.35279439
"236","78220000180631",481187.816544119,481422.183732323,4936109.64665832,4936560.3527944
"237","78220000180641",481025.552560526,481254.447665986,4936063.52662986,4936415.67294987
"238","78220000180651",480854.568664192,481065.431661653,4935991.47646522,4936285.09426585
"239","78220000180661",480675.201498059,480854.798756933,4935911.65755993,4936198.34189282
"240","78220000180671",480495.201489012,480674.798747924,4935860.4078209,4936087.59163188
"241","78220000180681",480313.995815615,480496.004398581,4935774.40782091,4936001.5916319
"242","78220000180691",480166.34833511,480313.651870232,4935723.97052583,4935864.82905388
"243","78220000180701",479971.722119203,480180.278306917,4935560.28003804,4935823.71943632
"244","78220000180711",479837.096029447,480066.904132769,4935463.52797663,4935616.4717791
"245","78220000180721",479677.645243157,480048.354882887,4935283.34627609,4935466.65352189
"246","78220000180731",479612.633603514,479975.937940493,4935075.16416657,4935284.83564694
"247","78220000180741",479619.821072797,479906.178855959,4934894.10930038,4935075.89054449
"248","78220000180811",479231.37494774,479486.624618872,4933572.58392328,4933757.41588961
"249","78220000180821",479352.98489234,479569.414501229,4933378.69471703,4933635.70488103
"250","78220000180851",479924.999693141,480074.999695027,4933176.40680812,4933307.59276875
"251","78220000180861",480076.030066765,480223.96940336,4933056.37052483,4933197.22905289
"252","78220000180871",480222.620294576,480437.379191784,4932887.13402322,4933224.86527775
"253","78220000180881",480423.980377335,480596.019079247,4932834.71500024,4933080.48457737
"254","78220000180891",480582.702525257,480737.296912537,4932758.39978827,4932959.99978913
"255","78220000180901",480683.907892025,480898.091609208,4932614.61353493,4932795.38623728
"256","78220000180911",480709.482325051,480960.231696955,4932404.33868017,4932615.66116451
"257","78220000180921",480647.27825449,480978.721857357,4932223.04006217,4932406.95974829
"258","78220000180931",480573.796397507,480872.203934728,4932044.99985471,4932224.99985472
"259","78220000180941",480451.969022703,480780.031283771,4931863.14242704,4932046.85729542
"260","78220000180951",480357.885821527,480680.114483998,4931665.14917042,4931884.85053383
"261","78220000190011",480321.184150152,480472.816155168,4931576.27175387,4931723.72789467
"262","78220000170011",492254.999995832,492464.999996215,4946819.99965022,4947059.99965022
"263","78220000170021",492464.398253282,492645.601678681,4946814.39144639,4947059.60800491
"264","78220000170031",492644.604538085,492825.395171357,4946756.68927572,4947033.31017486
"265","78220000170041",492826.464821502,493003.53476293,4946676.93225351,4946959.0671964
"266","78220000170051",492883.783730789,493242.215773592,4946577.4702398,4946792.52946581
"267","78220000170061",492979.509219059,493283.347676475,4946384.33889793,4946595.66092711
"268","78220000170071",493063.481228975,493296.51852172,4946204.96352083,4946385.03629607
"269","78220000170081",493128.796830675,493315.774342932,4945993.50291622,4946206.49690588
"270","78220000170091",493208.769121477,493397.230420859,4945815.75784458,4945994.24188343
"271","78220000170101",493257.96883912,493533.230764288,4945643.65818472,4945836.34153261
"272","78220000170111",493454.674630136,493635.324877142,4945456.94091324,4945745.05853638
"273","78220000170151",493970.86109926,494311.138445392,4944969.72220613,4945160.27752017
"274","78220000170161",494014.650749178,494383.349083222,4944794.15815304,4944975.84168431
"275","78220000170171",494064.962641135,494427.037112519,4944614.96352089,4944795.03629614
"276","78220000170181",494069.25941205,494489.02627298,4944404.76131688,4944615.23853464
"277","78220000170191",494037.960162673,494516.897038442,4944193.4867467,4944406.51310263
"278","78220000170201",494033.571897273,494404.428520106,4944008.5771499,4944201.42259397
"279","78220000170211",493939.296360314,494301.504002436,4943822.28238309,4944057.71735073
"280","78220000170221",493884.440186884,494128.360288544,4943675.65871382,4943906.74091566
"281","78220000170231",493755.000241248,493935.000241464,4943528.9409139,4943817.05853703
"282","78220000170241",493565.472053999,493764.528344882,4943367.6494224,4943782.35002893
"283","78220000170251",493382.442927037,493587.557452848,4943279.33876104,4943706.66069039
"284","78220000170261",493215.051869723,493394.948486515,4943202.63041859,4943605.36903295
"285","78220000170271",493015.951953596,493234.048411392,4943094.81591522,4943549.18353631
"286","78220000170281",492824.343809081,493035.656542493,4943039.94120096,4943449.77238579
"287","78220000170291",492645.000158582,492825.000158879,4942967.73485382,4943376.26459791
"288","78220000170401",490544.775102864,490725.224918287,4942915.09800811,4943160.90144396
"289","78220000170411",490333.057381542,490546.942816493,4942816.07770875,4943227.92159258
"290","78220000170571",487197.831039693,487412.168843835,4942612.62659944,4942768.37252761
"291","78220000170011",492254.999995832,492464.999996215,4946819.99965022,4947059.99965022
"292","78220000170021",492464.398253282,492645.601678681,4946814.39144639,4947059.60800491
"293","78220000170031",492644.604538085,492825.395171357,4946756.68927572,4947033.31017486
"294","78220000170041",492826.464821502,493003.53476293,4946676.93225351,4946959.0671964
"295","78220000170051",492883.783730789,493242.215773592,4946577.4702398,4946792.52946581
"296","78220000170061",492979.509219059,493283.347676475,4946384.33889793,4946595.66092711
"297","78220000170071",493063.481228975,493296.51852172,4946204.96352083,4946385.03629607
"298","78220000170081",493128.796830675,493315.774342932,4945993.50291622,4946206.49690588
"299","78220000170091",493208.769121477,493397.230420859,4945815.75784458,4945994.24188343
"300","78220000170101",493257.96883912,493533.230764288,4945643.65818472,4945836.34153261
"301","78220000170111",493454.674630136,493635.324877142,4945456.94091324,4945745.05853638
"302","78220000170121",493613.658134302,493806.341481843,4945362.36882611,4945637.63075152
"303","78220000170131",493744.289820552,493975.70963961,4945256.99988318,4945500.59969301
"304","78220000170141",493891.205779927,494128.793658269,4945111.20584868,4945348.7937273
"305","78220000170151",493970.86109926,494311.138445392,4944969.72220613,4945160.27752017
"306","78220000170161",494014.650749178,494383.349083222,4944794.15815304,4944975.84168431
"307","78220000170171",494064.962641135,494427.037112519,4944614.96352089,4944795.03629614
"308","78220000170181",494069.25941205,494489.02627298,4944404.76131688,4944615.23853464
"309","78220000170191",494037.960162673,494516.897038442,4944193.4867467,4944406.51310263
"310","78220000170201",494033.571897273,494404.428520106,4944008.5771499,4944201.42259397
"311","78220000170211",493939.296360314,494301.504002436,4943822.28238309,4944057.71735073
